city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Miranda,3.25,-76.23,86.0,62,40,2.24,CO,1587672265
303,Agüimes,27.91,-15.45,68.0,64,75,17.22,ES,1587672265
304,Saskylakh,71.92,114.08,15.94,95,77,4.83,RU,1587672266
305,Sungai Penuh,-2.08,101.38,64.83,72,55,1.99,ID,1587672266
306,Río Gallegos,-51.62,-69.22,53.6,58,75,11.41,AR,1587672266
307,Ca Mau,9.18,105.15,82.13,81,93,8.41,VN,1587672266
308,Inhambane,-23.86,35.38,73.81,82,10,12.75,MZ,1587672266
309,Ancud,-41.87,-73.82,57.0,93,90,8.05,CL,1587672266
310,Iskateley,67.68,53.15,20.52,96,70,15.1,RU,1587672267
311,Excelsior Springs,39.34,-94.23,73.0,63,1,5.23,US,1587672136
312,Arraial do Cabo,-22.97,-42.03,80.6,65,1,9.17,BR,1587672267
313,Killybegs,54.63,-8.45,53.6,87,100,4.7,IE,1587672267
314,Dunedin,-45.87,170.5,54.0,67,21,6.87,NZ,1587672189
315,São Félix do Xingu,-6.64,-51.99,77.76,88,100,1.52,BR,1587672267
316,Tokmak,47.25,35.71,47.14,54,27,4.74,UA,1587672267
317,Gumdag,39.21,54.59,59.7,54,89,5.23,TM,1587672268
318,Elk Plain,47.05,-122.4,60.01,87,90,9.17,US,1587672268
319,Avera,33.19,-82.53,64.4,88,90,24.16,US,1587672268
320,Kudeyevskiy,54.88,56.76,30.2,86,75,8.95,RU,1587672268
321,Kalmunai,7.42,81.82,81.77,81,100,7.72,LK,1587672268
322,Matara,5.95,80.54,78.31,87,100,2.28,LK,1587672268
323,Vardø,70.37,31.11,26.6,79,75,20.8,NO,1587672269
324,Bulawayo,-20.15,28.58,55.89,51,0,8.52,ZW,1587672269
325,Vostok,46.49,135.88,18.32,90,17,4.16,RU,1587672269
326,Manokwari,-0.87,134.08,80.98,69,16,5.26,ID,1587672269
327,Horsham,51.06,-0.33,61.0,55,76,6.93,GB,1587672269
328,Ust-Nera,64.57,143.2,18.52,85,99,3.22,RU,1587672269
329,Auki,-8.77,160.7,79.65,84,99,7.9,SB,1587672269
330,Muros,42.78,-9.06,59.0,79,39,3.0,ES,1587672270
331,Nantucket,41.28,-70.1,46.99,45,90,18.34,US,1587671976
332,Maţāy,28.42,30.78,76.91,21,0,6.76,EG,1587672270
333,Nichinan,31.6,131.37,46.0,65,82,10.0,JP,1587672270
334,Yamada,39.47,141.95,37.9,76,6,4.88,JP,1587672270
335,Jieshi,22.81,115.83,64.78,75,100,12.5,CN,1587672270
336,Seydi,39.48,62.91,75.58,41,84,22.15,TM,1587672270
337,Banda Aceh,5.56,95.32,80.17,74,100,3.49,ID,1587672271
338,Bismarck,46.81,-100.78,62.6,36,90,11.41,US,1587672154
339,Antalaha,-14.9,50.28,76.51,85,62,11.52,MG,1587672271
340,Skjervøy,70.03,20.97,32.0,82,20,4.7,NO,1587672271
341,Ponferrada,42.55,-6.6,60.01,73,70,1.01,ES,1587672271
342,Sopot,54.44,18.56,55.0,50,54,3.36,PL,1587672170
343,Agadez,19.75,10.25,89.19,10,0,9.62,NE,1587672272
344,Copiapó,-27.37,-70.33,68.0,60,40,9.17,CL,1587672193
345,Emilio Carranza,19.97,-96.61,87.08,57,23,2.39,MX,1587672272
346,Liverpool,53.41,-2.98,62.6,55,100,11.41,GB,1587672272
347,Ponta do Sol,32.67,-17.1,62.6,67,40,12.75,PT,1587672272
348,Farafangana,-22.82,47.83,73.63,83,59,3.02,MG,1587672272
349,Brae,60.4,-1.35,42.8,87,22,5.82,GB,1587672272
350,Margate,51.38,1.39,53.01,74,99,11.97,GB,1587672273
351,Thinadhoo,0.53,72.93,83.86,72,100,9.64,MV,1587672273
352,Hailey,43.52,-114.32,55.4,35,40,13.87,US,1587672273
353,Pangnirtung,66.15,-65.71,10.4,85,75,4.7,CA,1587672273
354,Tautira,-17.73,-149.15,84.2,62,21,11.41,PF,1587672274
355,Lorvão,40.26,-8.32,60.01,81,100,4.0,PT,1587672274
356,Cockburn Town,21.46,-71.14,79.39,79,0,17.63,TC,1587672274
357,Maltahöhe,-24.83,16.98,67.46,30,18,9.71,NA,1587672274
358,Beringovskiy,63.05,179.32,15.73,91,0,10.85,RU,1587672275
359,Bambanglipuro,-7.95,110.28,78.91,84,98,7.58,ID,1587672275
360,Boundiali,9.52,-6.49,81.05,53,77,2.44,CI,1587672275
361,Broken Hill,-31.95,141.43,62.6,51,0,6.93,AU,1587672275
362,Shubarkuduk,49.14,56.49,39.43,67,55,6.85,KZ,1587672275
363,Alindao,5.03,21.21,75.36,72,95,2.75,CF,1587672276
364,Maceió,-9.67,-35.74,82.4,74,40,9.17,BR,1587672127
365,Tiarei,-17.53,-149.33,84.2,62,30,11.41,PF,1587672276
366,Summerside,46.4,-63.79,41.0,15,91,19.44,CA,1587672277
367,Caceres,39.52,-6.37,64.99,64,100,1.99,ES,1587672277
368,Rena,61.13,11.36,37.99,59,79,4.59,NO,1587672277
369,Mikrópolis,41.19,23.82,46.99,81,81,1.1,GR,1587672277
